,NAME,DP03_0004PE,state,place
292,"Hammond city, Indiana",57.2,18,31000
293,"Indianapolis city (balance), Indiana",65.6,18,36003
294,"Lexington-Fayette urban county, Kentucky",64.5,21,46027
295,"Louisville/Jefferson County metro government (balance), Kentucky",63.6,21,48006
296,"Portland city, Maine",69.4,23,60545
297,"Baltimore city, Maryland",59.2,24,04000
298,"Bethesda CDP, Maryland",63.3,24,07125
299,"Gaithersburg city, Maryland",69.2,24,31175
300,"Elgin city, Illinois",66.7,17,23074
301,"Evanston city, Illinois",61.1,17,24582
302,"Joliet city, Illinois",65.0,17,38570
303,"Naperville city, Illinois",65.2,17,51622
304,"Palatine village, Illinois",70.9,17,57225
305,"Peoria city, Illinois",59.5,17,59000
306,"Rockford city, Illinois",55.7,17,65000
307,"Schaumburg village, Illinois",67.7,17,68003
308,"Skokie village, Illinois",62.8,17,70122
309,"Springfield city, Illinois",52.3,17,72000
310,"Waukegan city, Illinois",63.4,17,79293
311,"Bloomington city, Indiana",59.2,18,05860
312,"Carmel city, Indiana",62.4,18,10342
313,"Evansville city, Indiana",60.3,18,22000
314,"Fishers city, Indiana",75.0,18,23278
315,"Lafayette city, Indiana",62.9,18,40788
316,"Muncie city, Indiana",53.7,18,51876
317,"Noblesville city, Indiana",74.2,18,54180
318,"South Bend city, Indiana",60.4,18,71000
319,"Ames city, Iowa",65.5,19,01855
320,"Ankeny city, Iowa",71.3,19,02305
321,"Cedar Rapids city, Iowa",66.7,19,12000
322,"Davenport city, Iowa",63.0,19,19000
323,"Des Moines city, Iowa",67.0,19,21000
324,"Iowa City city, Iowa",64.0,19,38595
325,"Sioux City city, Iowa",61.2,19,73335
326,"Waterloo city, Iowa",63.5,19,82425
327,"West Des Moines city, Iowa",72.5,19,83910
328,"Kansas City city, Kansas",63.3,20,36000
329,"Lawrence city, Kansas",69.3,20,38900
330,"Olathe city, Kansas",67.7,20,52575
331,"Overland Park city, Kansas",70.4,20,53775
332,"Shawnee city, Kansas",71.1,20,64500
333,"Topeka city, Kansas",55.1,20,71000
334,"Wichita city, Kansas",60.7,20,79000
335,"Bowling Green city, Kentucky",57.0,21,08902
336,"Baton Rouge city, Louisiana",59.0,22,05000
337,"Kenner city, Louisiana",62.3,22,39475
338,"Lafayette city, Louisiana",57.9,22,40735
339,"Lake Charles city, Louisiana",55.4,22,41155
340,"Metairie CDP, Louisiana",63.3,22,50115
341,"New Orleans city, Louisiana",56.0,22,55000
342,"Shreveport city, Louisiana",53.9,22,70000
343,"Columbia CDP, Maryland",67.3,24,19125
344,"Dundalk CDP, Maryland",51.5,24,23975
345,"Ellicott City CDP, Maryland",66.8,24,26000
346,"Frederick city, Maryland",67.9,24,30325
347,"Germantown CDP, Maryland",67.4,24,32025
348,"Glen Burnie CDP, Maryland",66.6,24,32650
349,"Waldorf CDP, Maryland",71.0,24,81175
350,"Boston city, Massachusetts",66.7,25,07000
351,"Brockton city, Massachusetts",63.7,25,09000
352,"Cambridge city, Massachusetts",67.2,25,11000
353,"Fall River city, Massachusetts",56.2,25,23000
354,"Framingham city, Massachusetts",63.9,25,24960
355,"Haverhill city, Massachusetts",65.7,25,29405
356,"Lawrence city, Massachusetts",67.7,25,34550
357,"Lowell city, Massachusetts",60.4,25,37000
358,"Lynn city, Massachusetts",62.7,25,37490
359,"Malden city, Massachusetts",68.6,25,37875
360,"Quincy city, Massachusetts",66.8,25,55745
361,"Rockville city, Maryland",64.8,24,67675
362,"Silver Spring CDP, Maryland",76.3,24,72450
363,"Medford city, Massachusetts",65.8,25,39835
364,"New Bedford city, Massachusetts",57.2,25,45000
365,"Newton city, Massachusetts",64.0,25,45560
366,"Somerville city, Massachusetts",77.3,25,62535
367,"Springfield city, Massachusetts",53.6,25,67000
368,"Worcester city, Massachusetts",62.4,25,82000
369,"Ann Arbor city, Michigan",59.0,26,03000
370,"Dearborn city, Michigan",57.1,26,21000
371,"Detroit city, Michigan",47.0,26,22000
372,"Farmington Hills city, Michigan",61.5,26,27440
373,"Flint city, Michigan",47.5,26,29000
374,"Sterling Heights city, Michigan",60.0,26,76460
375,"Grand Rapids city, Michigan",68.4,26,34000
376,"Kalamazoo city, Michigan",63.2,26,42160
377,"Lansing city, Michigan",64.4,26,46000
378,"Livonia city, Michigan",61.5,26,49000
379,"Novi city, Michigan",67.0,26,59440
380,"Rochester Hills city, Michigan",64.3,26,69035
381,"Southfield city, Michigan",61.1,26,74900
382,"Troy city, Michigan",65.8,26,80700
383,"Warren city, Michigan",59.3,26,84000
384,"Westland city, Michigan",59.5,26,86000
385,"Wyoming city, Michigan",67.0,26,88940
386,"Blaine city, Minnesota",70.6,27,06382
387,"Bloomington city, Minnesota",66.8,27,06616
388,"St. Paul city, Minnesota",67.2,27,58000
389,"Brooklyn Park city, Minnesota",66.3,27,07966
390,"Duluth city, Minnesota",61.5,27,17000
391,"Eagan city, Minnesota",71.8,27,17288
392,"Lakeville city, Minnesota",69.7,27,35180
393,"Maple Grove city, Minnesota",68.7,27,40166
394,"Minneapolis city, Minnesota",68.9,27,43000
395,"Plymouth city, Minnesota",69.4,27,51730
396,"Rochester city, Minnesota",65.1,27,54880
397,"St. Cloud city, Minnesota",63.1,27,56896
398,"Woodbury city, Minnesota",72.7,27,71428
399,"Independence city, Missouri",60.6,29,35000
400,"Kansas City city, Missouri",64.7,29,38000
401,"Lee's Summit city, Missouri",64.7,29,41348
402,"Enterprise CDP, Nevada",67.7,32,23770
403,"Henderson city, Nevada",57.4,32,31900
404,"Las Vegas city, Nevada",58.8,32,40000
405,"Sunrise Manor CDP, Nevada",58.2,32,71400
406,"Gulfport city, Mississippi",48.6,28,29700
407,"Jackson city, Mississippi",54.8,28,36000
408,"Columbia city, Missouri",59.5,29,15670
409,"O'Fallon city, Missouri",69.3,29,54074
410,"St. Charles city, Missouri",63.8,29,64082
411,"St. Joseph city, Missouri",56.1,29,64550
412,"St. Louis city, Missouri",64.1,29,65000
413,"Springfield city, Missouri",58.2,29,70000
414,"Billings city, Montana",67.6,30,06550
415,"Missoula city, Montana",72.1,30,50200
416,"Lincoln city, Nebraska",66.9,31,28000
417,"Omaha city, Nebraska",67.3,31,37000
418,"North Las Vegas city, Nevada",60.4,32,51800
419,"Paradise CDP, Nevada",61.1,32,54600
420,"Reno city, Nevada",64.6,32,60600
421,"Sparks city, Nevada",65.4,32,68400
422,"Spring Valley CDP, Nevada",64.6,32,68585
423,"Manchester city, New Hampshire",70.8,33,45140
424,"Nashua city, New Hampshire",67.1,33,50260
425,"East Orange city, New Jersey",59.5,34,19390
